family,d,density,n_eff,n_train,seed,structure,G,fits,time,rmse
additive,10,30,10,300,0,additive,8,10,0.028575430999808304,0.06693650765763254
additive,10,30,10,300,1,additive,8,10,0.023654382999666268,0.04217439987740865
additive,10,30,10,300,2,additive,8,10,0.023398193999582872,0.03530907522452312
additive,10,30,10,300,3,additive,8,10,0.02361290899989399,0.05400239139275629
additive,10,30,10,300,4,additive,8,10,0.0274942569999439,0.06870171721412219
additive,10,45,10,450,0,additive,13,11,0.029452369000409817,0.016705166317393688
additive,10,45,10,450,1,additive,13,11,0.029819524999766145,0.011135390502497955
additive,10,45,10,450,2,additive,13,11,0.029877365000174905,0.013777278119992131
additive,10,45,10,450,3,additive,13,12,0.031150701999649755,0.013603211288347707
additive,10,45,10,450,4,additive,13,11,0.02759442000024137,0.01621603585923428
additive,10,60,10,600,0,additive,15,12,0.03646957399996609,0.011898646530290543
additive,10,60,10,600,1,additive,15,12,0.032877462999749696,0.009883752703109244
additive,10,60,10,600,2,additive,15,12,0.033176429999912216,0.011617242203450964
additive,10,60,10,600,3,additive,15,12,0.03262328900018474,0.014285432958577734
additive,10,60,10,600,4,additive,15,12,0.03353741699993407,0.013764761860097246
additive,10,90,10,900,0,additive,15,13,0.05140603999961968,0.009975664591680753
additive,10,90,10,900,1,additive,15,13,0.050154061000284855,0.00837590929667566
additive,10,90,10,900,2,additive,15,13,0.05070831000011822,0.008671382560494965
additive,10,90,10,900,3,additive,15,13,0.06741777500019452,0.010837319281169088
additive,10,90,10,900,4,additive,15,13,0.05216315799998483,0.009789116467011768
additive,10,120,10,1200,0,additive,15,14,0.0787929980001536,0.00775598659676991
additive,10,120,10,1200,1,additive,15,14,0.09521020200008934,0.007626616280893178
additive,10,120,10,1200,2,additive,15,14,0.0794622650000747,0.007929851758669112
additive,10,120,10,1200,3,additive,15,14,0.07905996499994217,0.008414742342656616
additive,10,120,10,1200,4,additive,15,15,0.08314720699991085,0.008556447907301284
additive,10,180,10,1800,0,additive,15,15,0.1252664270000423,0.006935697944573552
additive,10,180,10,1800,1,additive,15,15,0.12476386799971806,0.005773351926428859
additive,10,180,10,1800,2,additive,15,15,0.14745437300007325,0.006738004660738855
additive,10,180,10,1800,3,additive,15,16,0.13940581899987592,0.006837754500544085
additive,10,180,10,1800,4,additive,15,15,0.11928404899981615,0.007238496262088058
additive,10,240,10,2400,0,additive,15,16,0.22660613200014268,0.006066619737145101
additive,10,240,10,2400,1,additive,15,16,0.19849245300019902,0.004976778576282566
additive,10,240,10,2400,2,additive,15,16,0.19593305899979896,0.005884341699771075
additive,10,240,10,2400,3,additive,15,16,0.18594550600028015,0.005754754377211128
additive,10,240,10,2400,4,additive,15,16,0.18549958699986746,0.005804837212543543
additive,10,360,10,3600,0,additive,15,16,0.33304976099998385,0.004982375581663998
additive,10,360,10,3600,1,additive,15,16,0.27936290299976463,0.004163303169983201
additive,10,360,10,3600,2,additive,15,16,0.280466965999949,0.004365340647595347
additive,10,360,10,3600,3,additive,15,16,0.26696388500022294,0.004699094853781928
additive,10,360,10,3600,4,additive,15,16,0.2672109650002312,0.0049163081266997725
additive,10,480,10,4800,0,additive,15,16,0.406203805000132,0.00437279166081896
additive,10,480,10,4800,1,additive,15,16,0.35738959399986925,0.00363265185265085
additive,10,480,10,4800,2,additive,15,16,0.3578920879999714,0.003778990320779521
additive,10,480,10,4800,3,additive,15,16,0.3339234340000985,0.004508903913132913
additive,10,480,10,4800,4,additive,15,16,0.3332510669997646,0.004570177544724057
additive,10,720,10,7200,0,additive,15,16,0.6013719390002734,0.0037855081153452975
additive,10,720,10,7200,1,additive,15,16,0.5132108130001143,0.0029145144801756727
additive,10,720,10,7200,2,additive,15,16,0.5896818490000442,0.0030487573026186693
additive,10,720,10,7200,3,additive,15,16,0.49765882900010183,0.00406240578539244
additive,10,720,10,7200,4,additive,15,16,0.49643209000032584,0.0038829366810601822
additive,20,30,20,600,0,additive,8,10,0.06533450899996751,0.05751360216529936
additive,20,30,20,600,1,additive,8,10,0.06545960199991896,0.05856463291907263
additive,20,30,20,600,2,additive,8,10,0.0548221169997305,0.055424054609686094
additive,20,30,20,600,3,additive,8,10,0.05487392800023372,0.050897653858646814
additive,20,30,20,600,4,additive,8,10,0.06517123499997979,0.04690025118350275
additive,20,45,20,900,0,additive,13,11,0.07853284900011204,0.015078265806214533
additive,20,45,20,900,1,additive,13,11,0.07829626099965026,0.015049913931349728
additive,20,45,20,900,2,additive,13,11,0.09255623500030197,0.012862769414791196
additive,20,45,20,900,3,additive,13,11,0.0767175649998535,0.013753660709332097
additive,20,45,20,900,4,additive,13,12,0.09044067399963751,0.014595070721345289
additive,20,60,20,1200,0,additive,15,12,0.12910633000001326,0.012372066074996555
additive,20,60,20,1200,1,additive,15,12,0.11077932300031534,0.011800650138414196
additive,20,60,20,1200,2,additive,15,12,0.11204518399972585,0.011597044252625123
additive,20,60,20,1200,3,additive,15,12,0.10827956699995411,0.012401294323415779
additive,20,60,20,1200,4,additive,13,15,0.18610730499995043,0.012548524354039171
additive,20,90,20,1800,0,additive,15,13,0.18422563500007527,0.010512411454590675
additive,20,90,20,1800,1,additive,15,13,0.18117929700019886,0.009674333067718156
additive,20,90,20,1800,2,additive,15,13,0.2101149360000818,0.008308673102821521
additive,20,90,20,1800,3,additive,15,13,0.18119334299990442,0.009682839390811056
additive,20,90,20,1800,4,additive,15,13,0.18584836499985613,0.009332295993503924
additive,20,120,20,2400,0,additive,15,14,0.30305459700002757,0.008536933586872898
additive,20,120,20,2400,1,additive,15,14,0.3057517359998201,0.007632754219651509
additive,20,120,20,2400,2,additive,15,14,0.36109448900015195,0.007617565869142043
additive,20,120,20,2400,3,additive,15,14,0.2982087320001483,0.007683990771880197
additive,20,120,20,2400,4,additive,15,14,0.29889868500004013,0.008031706015136851
additive,20,180,20,3600,0,additive,15,15,0.5228583699999945,0.006064359509151978
additive,20,180,20,3600,1,additive,15,15,0.4902898069999537,0.005959703115700487
additive,20,180,20,3600,2,additive,15,15,0.6035002840003472,0.005916972134948826
additive,20,180,20,3600,3,additive,15,15,0.49955752400001074,0.006540014321282635
additive,20,180,20,3600,4,additive,15,15,0.5824123090001194,0.006804364227906798
additive,20,240,20,4800,0,additive,15,16,0.8958642249999684,0.005720815740421292
additive,20,240,20,4800,1,additive,15,16,0.9282570229997873,0.005414938312560182
additive,20,240,20,4800,2,additive,15,16,1.0574040809997314,0.005349890154215079
additive,20,240,20,4800,3,additive,15,16,0.891059746999872,0.005283095498680128
additive,20,240,20,4800,4,additive,15,16,0.9086536300001171,0.005647006368811516
additive,20,360,20,7200,0,additive,15,16,1.6114013090000299,0.004810970867987766
additive,20,360,20,7200,1,additive,15,16,1.3671774519998507,0.0044364294014110905
additive,20,360,20,7200,2,additive,15,16,1.3441925959996297,0.00437013265259652
additive,20,360,20,7200,3,additive,15,16,1.3443953500000134,0.004790386646270914
additive,20,360,20,7200,4,additive,15,16,1.3883149109997248,0.004987070529317692
additive,20,480,20,9600,0,additive,15,16,2.1792247690000295,0.004249677343378177
additive,20,480,20,9600,1,additive,15,16,1.856868045000283,0.0040128080149257495
additive,20,480,20,9600,2,additive,15,16,1.867013403999863,0.003886202133354658
additive,20,480,20,9600,3,additive,15,16,1.8471966700003577,0.004035952582720251
additive,20,480,20,9600,4,additive,15,16,1.8531193620001432,0.0038845324730858778
additive,20,720,20,14400,0,additive,15,16,3.2216520960000707,0.0035743247824902694
additive,20,720,20,14400,1,additive,15,16,2.81358226500015,0.0032774805242793766
additive,20,720,20,14400,2,additive,15,16,2.8193561429998226,0.003109015546710275
additive,20,720,20,14400,3,additive,15,16,2.791386176999822,0.0034320797933134807
additive,20,720,20,14400,4,additive,15,16,2.784580978000122,0.003499887255556258
additive,40,30,40,1200,0,additive,8,10,0.2235929890002808,0.04703797641723604
additive,40,30,40,1200,1,additive,8,10,0.21498397400000613,0.04385727043228717
additive,40,30,40,1200,2,additive,8,10,0.18451106400016215,0.05778664144768169
additive,40,30,40,1200,3,additive,8,10,0.18436595899993335,0.055946603645702614
additive,40,30,40,1200,4,additive,8,10,0.21422159899975668,0.060998325473365006
additive,40,45,40,1800,0,additive,13,11,0.2962093589999313,0.014757780261541063
additive,40,45,40,1800,1,additive,13,11,0.2973354300002029,0.013602026664698022
additive,40,45,40,1800,2,additive,13,11,0.35751110000001063,0.013389185884832228
additive,40,45,40,1800,3,additive,13,11,0.29541457999994236,0.014626295446585141
additive,40,45,40,1800,4,additive,13,11,0.29359372799990524,0.015306801799213341
additive,40,60,40,2400,0,additive,15,12,0.5895428960002391,0.012205041847858885
additive,40,60,40,2400,1,additive,15,12,0.49514359999966473,0.011930890744426683
additive,40,60,40,2400,2,additive,15,12,0.5872553370004425,0.013150904450533137
additive,40,60,40,2400,3,additive,15,12,0.49106398799995077,0.012114206787464487
additive,40,60,40,2400,4,additive,15,12,0.5845438999999715,0.013585428479671497
additive,40,90,40,3600,0,additive,15,13,0.9203203179999946,0.008977852344216039
additive,40,90,40,3600,1,additive,15,13,1.1037328889997298,0.00928774987890302
additive,40,90,40,3600,2,additive,15,13,0.9221888189999845,0.009219798896331231
additive,40,90,40,3600,3,additive,15,13,1.0638619040000776,0.009690477433032163
additive,40,90,40,3600,4,additive,15,13,0.9229769230000784,0.009918661054089168
additive,40,120,40,4800,0,additive,15,14,1.9339997890001541,0.007813862946094683
additive,40,120,40,4800,1,additive,15,14,1.645592611000211,0.0080579123213634
additive,40,120,40,4800,2,additive,15,14,1.639942579000035,0.008321786357698537
additive,40,120,40,4800,3,additive,15,14,1.6458805390002453,0.008085079364241942
additive,40,120,40,4800,4,additive,15,14,1.6480058790002658,0.007959800797025766
additive,40,180,40,7200,0,additive,15,16,4.371830574999876,0.006714002744995927
additive,40,180,40,7200,1,additive,15,14,3.2824560250001014,0.006305081424999283
additive,40,180,40,7200,2,additive,15,15,2.984029345000181,0.006707450111482905
additive,40,180,40,7200,3,additive,15,15,2.9794949319998523,0.006436652527942348
additive,40,180,40,7200,4,additive,15,15,2.9440920140000344,0.0063092688979810765
additive,40,240,40,9600,0,additive,15,16,6.428044286999921,0.005826161997554159
additive,40,240,40,9600,1,additive,15,16,5.911782299000151,0.0051603733553975475
additive,40,240,40,9600,2,additive,15,16,5.416053559000375,0.005404034713680914
additive,40,240,40,9600,3,additive,15,16,5.424667406999561,0.005585543107595129
additive,40,240,40,9600,4,additive,15,16,6.247256333999758,0.0056693032987036795
additive,40,360,40,14400,0,additive,15,16,8.045179000999724,0.0044425351780858794
additive,40,360,40,14400,1,additive,15,16,7.957156203000068,0.004279693519850423
additive,40,360,40,14400,2,additive,15,16,9.674774968000293,0.004537000843417086
additive,40,360,40,14400,3,additive,15,16,8.05035054100017,0.004828678855047682
additive,40,360,40,14400,4,additive,15,16,9.753603344000112,0.004742551077642676
additive,40,480,40,19200,0,additive,15,16,12.783416061000025,0.004128476978361461
additive,40,480,40,19200,1,additive,15,16,10.844849307999993,0.003830801209477398
additive,40,480,40,19200,2,additive,15,16,12.416691185000218,0.00406323858243608
additive,40,480,40,19200,3,additive,15,16,10.598963133000325,0.0038977934534285947
additive,40,480,40,19200,4,additive,15,16,10.750383180999961,0.004078383332756071
additive,40,720,40,28800,0,additive,15,16,19.062727749999794,0.0031872214249028777
additive,40,720,40,28800,1,additive,15,16,15.831970845999876,0.0029495853952809137
additive,40,720,40,28800,2,additive,15,16,19.136771199999657,0.0033511855786376586
additive,40,720,40,28800,3,additive,15,16,15.729366046999985,0.0034638969773791006
additive,40,720,40,28800,4,additive,15,16,18.71537756099997,0.0037250672294373587
additive,80,30,80,2400,0,additive,8,10,0.9454742289999558,0.0515047972289747
additive,80,30,80,2400,1,additive,8,10,0.7851811750001616,0.04574889783580409
additive,80,30,80,2400,2,additive,8,10,0.7896988489997057,0.05125678437276993
additive,80,30,80,2400,3,additive,8,10,0.9445385569997597,0.05352650737751008
additive,80,30,80,2400,4,additive,8,10,0.7583851790000153,0.039252463953076994
additive,80,45,80,3600,0,additive,13,11,1.5060759849998249,0.013411107124442139
additive,80,45,80,3600,1,additive,13,12,2.281125885000165,0.01362671970958949
additive,80,45,80,3600,2,additive,13,11,1.4977905470000223,0.01364335097766107
additive,80,45,80,3600,3,additive,13,11,1.5097748819998742,0.013812776984381875
additive,80,45,80,3600,4,additive,13,12,1.9084372449997318,0.01450364341834451
additive,80,60,80,4800,0,additive,15,12,3.0686318160001065,0.011939792528947665
additive,80,60,80,4800,1,additive,15,12,2.71146354099983,0.011888412125649053
additive,80,60,80,4800,2,additive,15,12,2.6825887380000495,0.01238622602337201
additive,80,60,80,4800,3,additive,15,12,3.085755380000137,0.012593675929817548
additive,80,60,80,4800,4,additive,12,15,4.024967008999738,0.011611832840181139
additive,80,90,80,7200,0,additive,15,13,5.308216567999807,0.009040552296388412
additive,80,90,80,7200,1,additive,15,13,5.317803912999807,0.009055912454086998
additive,80,90,80,7200,2,additive,15,13,6.1939118600002985,0.010133471425344069
additive,80,90,80,7200,3,additive,15,13,6.38356770099972,0.009917267292737094
additive,80,90,80,7200,4,additive,15,13,5.38977446600029,0.009612179099246483
additive,80,120,80,9600,0,additive,15,14,10.007444382999893,0.007272279490130571
additive,80,120,80,9600,1,additive,15,14,9.964245563000077,0.007407792694768999
additive,80,120,80,9600,2,additive,15,14,9.982510625000032,0.007999164388263532
additive,80,120,80,9600,3,additive,15,14,12.22254941600022,0.007823356957641732
additive,80,120,80,9600,4,additive,15,14,11.663807804000044,0.00813704247440737
additive,80,180,80,14400,0,additive,15,15,18.035548630999983,0.005842114513019162
additive,80,180,80,14400,1,additive,15,15,21.30496799699995,0.005941020952146803
additive,80,180,80,14400,2,additive,15,15,21.615600581999843,0.006864317298025114
